Sentence,Truth,Prediction,W_error_rate,Bleu_score
Tôi đi,ĭnh năm,inh năm .,,
Anh đi,'nhŏng năm,'nhŏng năm .,,
Anh ấy đi,'nhŏng 'nŏh năm,'nhŏng ơ̆i kih .,,
Cô ấy đi,Duch 'nŏh năm,duch ơ̆i kih .,,
Chúng tôi đi,nhơn năm (nhưn năm),nhi lơm .,,
Các anh đi,Đe 'nhŏng năm,đe 'nhŏng năm .,,
Họ đi,Đe năm,kơtum kơtŏng kih .,,
Nó gặp tôi,Hơ tơjrâm ĭnh ,hăp tơpau inh .,,
Nó gặp anh,Hơ tơjrâm 'nhŏng,hăp tơjrưm .,,
Nó gặp cô ấy,Hơ tơjrâm maĭ 'nŏh,hăp tơpau duch ơ̆i .,,
Nó gặp anh ấy,Hơ tơjrâm 'nhŏng 'nŏh,hăp tơpau 'nhŏng ơ̆i .,,
Nó gặp chúng tôi,Hơ tơjrâm nhơn,hăp tơpau nhi .,,
Nó gặp các anh,Hơ tơjrâm 'yĕm 'nhŏng,hăp tơpau đe 'nhŏng .,,
Nó gặp họ,Hơ tơjrâm kăn hơ,hăp tơpau kơtum kơtŏng .,,
Nó cho tôi một quyển sách,Hơ ăn nhin hla săch ,hăp ăn inh minh tơ̆p sơ̆p hla bơ-al .,,
Nó nghĩ về anh,Hơ tơ dŏ ăn kơ 'nhŏng,hơ chro đon lơ̆m nhŏng .,,
Nó lo lắng cho cô ấy,Hơ chro lư ăn duch 'nŏh,hơ chro ăn duch ơ̆i .,,
Nó đi cùng với chúng tôi,Hơ năm adrĭng lu nhơn,hăp kih adơi sơm nhi .,,
Nó vui sướng vì tôi,Hơ hưch hanh yua kơ ĭnh,hăp hyôk yuô inh .,,
Cha của tôi,'Bă ĭnh,'bă đơng inh .,,
Mẹ của tôi,Mĭ ĭnh,mĭ đơng inh .,,
Anh của nó,'nhŏng hơ,'nhŏng đơng pơdơi .,,
Chị của nó,Mai hơ,mai đơng pơdơi .,,
Ông của các anh,'Bok 'yĕm 'nhŏng,'bok đơng đe 'nhŏng .,,
Bà của các anh,Yă 'yĕm 'nhŏng,yă đơng đe 'nhŏng .,,
Em trai của họ,ŏh tơhnglo kăn hơ,oh tơhnglo đơng đe .,,
Em gái của họ,ŏh kơdyŏng kăn hơ,oh kơdiŏng đơng đe .,,
Tất cả các ông,Đĭ đăng đe 'Bok,đĭ rim 'bok .,,
Tất cả các bà,Đĭ đăng đe yă,đĭ rim yă .,,
Nhiều chàng trai,Lư đe tơ dăm,lư c ao tơhnglo .,,
Nhiều cô gái,lư đe adrŭh,lư duch kơdiŏng .,,
Một vài anh,'Ban Pêng 'nâu 'nhŏng,minh weng 'nhŏng .,,
